dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_APC_CXCL9_axis	cohortGSE25065	HR	1.1714134546907762	0.7117762583350589	1.9278663284447888	0.5336700919741374	Surv(drfs_time_years, drfs_event) ~ cohort + scale(APC_CXCL9_axis)	
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_APC_CXCL9_axis	scale(APC_CXCL9_axis)	HR	0.8714453696145572	0.6882196476603268	1.103451543129244	0.25322231839659515	Surv(drfs_time_years, drfs_event) ~ cohort + scale(APC_CXCL9_axis)	
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_Immune	cohortGSE25065	HR	1.1670704941250511	0.7090538454271859	1.9209451398386963	0.5434148548768636	Surv(drfs_time_years, drfs_event) ~ cohort + scale(Immune_remodeling_score)	
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_Immune	scale(Immune_remodeling_score)	HR	0.8805454201479143	0.6906575847238778	1.1226405878876329	0.3046554249844345	Surv(drfs_time_years, drfs_event) ~ cohort + scale(Immune_remodeling_score)	
METABRIC	clinical_TNBC	RFS	320	131	axis_unadjusted	scale(APC_CXCL9_axis)	HR	0.7555230138354634	0.639824243539469	0.8921434756477931	9.473224360919946e-4	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis)	
METABRIC	clinical_TNBC	RFS	320	131	axis_age_adjusted	scale(APC_CXCL9_axis)	HR	0.7529487178569054	0.6373828373699738	0.8894682104426948	8.446393480823156e-4	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age	
METABRIC	clinical_TNBC	RFS	320	131	axis_age_adjusted	age	HR	0.9913548633252006	0.9785712787941622	1.0043054464561405	0.18979399274816303	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age	
METABRIC	clinical_TNBC	RFS	233	95	axis_age_stage_complete_case	scale(APC_CXCL9_axis)	HR	0.8289499623879661	0.6797001900317163	1.0109722642727907	0.0639942931551989	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age +      tumor_stage	
METABRIC	clinical_TNBC	RFS	233	95	axis_age_stage_complete_case	age	HR	0.9874549005933452	0.9723034994479816	1.0028424059559595	0.1095562631050993	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age +      tumor_stage	
METABRIC	clinical_TNBC	RFS	233	95	axis_age_stage_complete_case	tumor_stage	HR	1.9696787736335115	1.4074659777938818	2.756467674894356	7.710143316265958e-5	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age +      tumor_stage	
